.rownames,Disorder id,Disorder name,Human gene symbol,Mouse model description,PhenoDigm % score,Matching human phenotypes,Matching mouse phenotypes
31,OMIM:113100,"Brachydactyly, Type C",GDF5,Gdf5<em1(IMPC)H> hom early,62.695,"HP:0009495,HP:0009349,HP:0001762,HP:0009587,HP:0009463,HP:0009523,HP:0010259,HP:0001156,HP:0009456,HP:0004220,HP:0009439,HP:0032078,HP:0001162,HP:0009417,HP:0006206,HP:0009516,HP:0009324,HP:0003067,HP:0009527,HP:0009436,HP:0009577,HP:0009461,HP:0004209,HP:0009331,HP:0011929,HP:0009575,HP:0009536,HP:0009534,HP:0009464,HP:0010034,HP:0009356","MP:0000550,MP:0000572,MP:0000556,MP:0002110"
32,OMIM:113750,"Albinism, Oculocutaneous, Type Vi",SLC24A5,Slc24a5<tm1b(KOMP)Mbp> hom early,54.135,"HP:0007750,HP:0002286,HP:0007513","MP:0002075,MP:0001325"
33,OMIM:114500,Colorectal Cancer,AXIN2,Axin2<tm1b(KOMP)Wtsi> hom embryo,15.68,"HP:0006753,HP:0006716",MP:0009908
34,OMIM:114550,Hepatocellular Carcinoma,CASP8,Casp8<em1(IMPC)Ccpcz> het early,43.9,"HP:0001402,HP:0001413,HP:0006572","MP:0000601,MP:0000598"
35,OMIM:115196,"Cardiomyopathy, Familial Hypertrophic, 3",TPM1,Tpm1<tm1a(EUCOMM)Wtsi> het early,28.12,HP:0001639,MP:0002833
36,OMIM:115197,"Cardiomyopathy, Familial Hypertrophic, 4",MYBPC3,Mybpc3<tm1a(EUCOMM)Hmgu> hom early,45.3,"HP:0001639,HP:0011623,HP:0030718,HP:0005144,HP:0031318,HP:0001698,HP:0001640,HP:0002240,HP:0001714","MP:0002833,MP:0000266"
37,OMIM:115197,"Cardiomyopathy, Familial Hypertrophic, 4",MYBPC3,Mybpc3<tm1b(EUCOMM)Hmgu> hom early,57.33,"HP:0002326,HP:0001635,HP:0001279,HP:0001639,HP:0001678,HP:0011705,HP:0001645,HP:0001663,HP:0011712,HP:0011713,HP:0001695,HP:0012664","MP:0010392,MP:0010511,MP:0003233"
38,OMIM:115310,Pheochromocytoma/Paraganglioma Syndrome 4,SDHB,Sdhb<tm1b(EUCOMM)Hmgu> het early,11.205,HP:0011976,MP:0002135
39,OMIM:116800,"Cataract 5, Multiple Types",HSF4,Hsf4<tm1b(KOMP)Wtsi> hom early,54.545,"HP:0010920,HP:0001134,HP:0010693,HP:0007971,HP:0100018","MP:0005102,MP:0001304,MP:0001319,MP:0001312,MP:0001303"
40,OMIM:116860,Cerebral Cavernous Malformations,KRIT1,Krit1<tm1.1(KOMP)Vlcg> het early,23.91,HP:0007797,MP:0001333
41,OMIM:117210,Spinocerebellar Ataxia 31,BEAN1,Bean1<em1(IMPC)H> hom early,54.11,"HP:0002070,HP:0002066,HP:0001251",MP:0001406
42,OMIM:117360,Spinocerebellar Ataxia 29,ITPR1,Itpr1<tm1.1(NCOM)Mfgc> het early,22.305,HP:0000028,MP:0004930
43,OMIM:117360,Spinocerebellar Ataxia 29,ITPR1,Itpr1<tm1.1(NCOM)Mfgc> hom embryo,15.365,HP:0004322,MP:0003984
44,OMIM:118100,"Klippel-Feil Syndrome 1, Autosomal Dominant",GDF6,Gdf6<em1(IMPC)Ccpcz> het early,26.35,HP:0002813,MP:0002110
45,OMIM:118200,"Charcot-Marie-Tooth Disease, Demyelinating, Type 1B",MPZ,Mpz<em1(IMPC)Tcp> hom early,38.35,HP:0003376,"MP:0001406,MP:0001402"
46,OMIM:118210,"Charcot-Marie-Tooth Disease, Axonal, Type 2A1",KIF1B,Kif1b<tm1b(KOMP)Wtsi> het early,27.065,HP:0003376,MP:0002574
47,OMIM:118210,"Charcot-Marie-Tooth Disease, Axonal, Type 2A1",KIF1B,Kif1b<tm1b(KOMP)Wtsi> hom embryo,14.66,HP:0001765,MP:0002109
48,OMIM:119600,Cleidocranial Dysplasia 1,RUNX2,Runx2<em1(IMPC)Rbrc> het early,52.625,"HP:0003183,HP:0011069,HP:0000347,HP:0000696,HP:0100864,HP:0001156,HP:0002866,HP:0011001,HP:0004220,HP:0003302,HP:0000680,HP:0010230,HP:0008788,HP:0006660,HP:0006040,HP:6000875,HP:0003304,HP:0009577,HP:0002812,HP:0000894,HP:0002827,HP:0000882,HP:0002650,HP:0002808,HP:0006297","MP:0005298,MP:0010124,MP:0003795,MP:0004509,MP:0005270,MP:0004599,MP:0005296,MP:0000137"
49,OMIM:119800,"Clubfoot, Congenital, With Or Without Deficiency Of Long Bones And/Or Mirror-Image Polydactyly",PITX1,Pitx1<em1(IMPC)Wtsi> het early,52.245,"HP:0001762,HP:0003065,HP:0009756,HP:0010691,HP:0001776,HP:0001841,HP:0009556","MP:0008730,MP:0000559,MP:0000572,MP:0002110,MP:0001312,MP:0004083,MP:0000558,MP:0002932"
50,OMIM:119800,"Clubfoot, Congenital, With Or Without Deficiency Of Long Bones And/Or Mirror-Image Polydactyly",PITX1,Pitx1<em1(IMPC)Wtsi> hom early,23.62,HP:0003826,MP:0011100
51,OMIM:120200,Microphthalmia/Coloboma 12,PAX6,Pax6<em1(IMPC)Mbp> het early,51.085,"HP:0000659,HP:0012521,HP:0007957,HP:0000568","MP:0001297,MP:0001314,MP:0001293,MP:0005542"
52,OMIM:120200,Microphthalmia/Coloboma 12,PAX6,Pax6<em1(IMPC)Mbp> het embryo,43.875,"HP:0012521,HP:0000568",MP:0001297
53,OMIM:120200,Microphthalmia/Coloboma 12,PAX6,Pax6<em1(IMPC)Mbp> hom embryo,35.85,"HP:0012521,HP:0000568",MP:0001293
54,OMIM:120970,Cone-Rod Dystrophy 2,CRX,Crx<em1(IMPC)Ccpcz> hom early,38.035,"HP:0007722,HP:0000548,HP:0000533,HP:0011509,HP:0007737",MP:0001325
55,OMIM:121050,"Contractural Arachnodactyly, Congenital",FBN2,Fbn2<em1(IMPC)Rbrc> hom early,52.55,"HP:0000767,HP:0006380,HP:0001239,HP:0001762,HP:0000938,HP:0002987,HP:0001181,HP:0008453,HP:0000347,HP:0002999,HP:0001653,HP:0034671,HP:0001631,HP:0001647,HP:0100490,HP:0005684,HP:0034391,HP:0001634,HP:0003066,HP:0005879,HP:0002751,HP:0000768,HP:0010499,HP:0000470,HP:0001166,HP:0003042,HP:0012385,HP:0009465,HP:0006487,HP:0001629,HP:0001840,HP:0001836,HP:0003273,HP:0001377,HP:0002650,HP:0001083","MP:0000458,MP:0001314,MP:0000559,MP:0004609,MP:0000564,MP:0005296,MP:0000572,MP:0010123,MP:0004509,MP:0005108,MP:0000274,MP:0004599,MP:0002932,MP:0010570,MP:0000266,MP:0005298,MP:0002110,MP:0003795,MP:0005270,MP:0000558,MP:0005542,MP:0000552,MP:0000150,MP:0002187"
56,OMIM:121050,"Contractural Arachnodactyly, Congenital",FBN2,Fbn2<em1(IMPC)Rbrc> hom late,24.33,"HP:0001629,HP:0001631,HP:0001647,HP:0001634","MP:0004857,MP:0000274,MP:0000266"
57,OMIM:121800,Schnyder Corneal Dystrophy,UBIAD1,Ubiad1<em1(IMPC)J> het early,84.21,"HP:0001131,HP:0007760",MP:0001312
58,OMIM:124000,"Mitochondrial Complex Iii Deficiency, Nuclear Type 1",BCS1L,Bcs1l<tm1.1(KOMP)Vlcg> hom early,19.455,HP:0003811,MP:0011100
59,OMIM:124000,"Mitochondrial Complex Iii Deficiency, Nuclear Type 1",BCS1L,Bcs1l<tm1.1(KOMP)Vlcg> hom embryo,18.115,HP:0003811,"MP:0013292,MP:0013293"
60,OMIM:125310,"Cerebral Arteriopathy, Autosomal Dominant, With Subcortical Infarcts And Leukoencephalopathy, Type 1",NOTCH3,Notch3<tm1.1(KOMP)Vlcg> hom early,16.85,HP:0000020,"MP:0003068,MP:0002135,MP:0003917"
61,OMIM:125370,Dentatorubral-Pallidoluysian Atrophy,ATN1,Atn1<tm1b(EUCOMM)Wtsi> hom early,37.375,"HP:0001266,HP:0000726,HP:0001251,HP:0001332","MP:0001406,MP:0001513,MP:0001417"
62,OMIM:125595,Dermatopathia Pigmentosa Reticularis,KRT14,Krt14<tm1.1(KOMP)Vlcg> hom embryo,25.22,HP:0012788,MP:0000111
63,OMIM:125850,"Maturity-Onset Diabetes Of The Young, Type 1",HNF4A,Hnf4a<tm1b(EUCOMM)Hmgu> het late,30.485,HP:0004904,MP:0005355
64,OMIM:125851,"Maturity-Onset Diabetes Of The Young, Type 2",GCK,Gck<em1(IMPC)H> het early,76.24,HP:0004904,"MP:0005293,MP:0013279,MP:0005559"
65,OMIM:125853,Type 2 Diabetes Mellitus,MTNR1B,Mtnr1b<tm1.1(KOMP)Vlcg> hom early,64.845,"HP:0000855,HP:0005978","MP:0013279,MP:0005292"
66,OMIM:125853,Type 2 Diabetes Mellitus,SLC2A2,Slc2a2<tm1b(KOMP)Wtsi> het early,51.175,"HP:0000855,HP:0005978",MP:0013279
67,OMIM:125853,Type 2 Diabetes Mellitus,PDX1,Pdx1<tm1b(EUCOMM)Wtsi> het early,69.855,"HP:0000855,HP:0005978",MP:0005293
68,OMIM:125853,Type 2 Diabetes Mellitus,HNF4A,Hnf4a<tm1b(EUCOMM)Hmgu> het late,22.95,HP:0005978,MP:0005355
69,OMIM:125853,Type 2 Diabetes Mellitus,HNF4A,Hnf4a<tm1b(EUCOMM)Hmgu> het middle,38.575,HP:0031819,MP:0001262
70,OMIM:125853,Type 2 Diabetes Mellitus,PPARG,Pparg<tm1b(KOMP)Wtsi> het early,44.885,"HP:0000855,HP:0005978",MP:0013279
71,OMIM:125853,Type 2 Diabetes Mellitus,AKT2,Akt2<tm1Wcs> het early,35.54,HP:0031819,MP:0001262
72,OMIM:125853,Type 2 Diabetes Mellitus,AKT2,Akt2<tm1Wcs> hom early,53.3,"HP:0031819,HP:0000855,HP:0005978","MP:0002078,MP:0005559,MP:0001262"
73,OMIM:125853,Type 2 Diabetes Mellitus,GCK,Gck<em1(IMPC)H> het early,62.715,"HP:0000855,HP:0005978","MP:0005293,MP:0013279,MP:0005559"
74,OMIM:125853,Type 2 Diabetes Mellitus,ABCC8,Abcc8<em1(IMPC)J> hom early,63.065,"HP:0000855,HP:0005978",MP:0005293
75,OMIM:125853,Type 2 Diabetes Mellitus,ENPP1,Enpp1<em1(IMPC)Ccpcz> hom early,33.78,"HP:0031819,HP:0000855,HP:0005978","MP:0013279,MP:0001262"
76,OMIM:128200,Episodic Kinesigenic Dyskinesia 1,PRRT2,Prrt2<tm1b(KOMP)Wtsi> hom early,38.755,"HP:0007098,HP:0002268",MP:0001489
77,OMIM:128235,Dystonia 12,ATP1A3,Atp1a3<tm1b(EUCOMM)Hmgu> het early,50.56,"HP:0002317,HP:0002015,HP:0000712,HP:0000716","MP:0001392,MP:0001364,MP:0001399,MP:0001415"
78,OMIM:129200,Basan Syndrome,SMARCAD1,Smarcad1<tm1b(EUCOMM)Hmgu> hom early,20.51,HP:0008404,MP:0001510
79,OMIM:130720,Lateral Meningocele Syndrome,NOTCH3,Notch3<tm1.1(KOMP)Vlcg> hom early,19.375,"HP:0001629,HP:0001647,HP:0000011","MP:0003068,MP:0002135,MP:0002833,MP:0003917"
80,OMIM:131760,"Epidermolysis Bullosa Simplex 1A, Generalized Severe",KRT14,Krt14<tm1.1(KOMP)Vlcg> hom embryo,30.265,"HP:0200097,HP:0001510","MP:0003984,MP:0000111"
81,OMIM:131900,"Epidermolysis Bullosa Simplex 1B, Generalized Intermediate",KRT14,Krt14<tm1.1(KOMP)Vlcg> hom embryo,26.31,HP:0200097,MP:0000111
82,OMIM:132450,"Epiphyseal Dysplasia, Multiple, With Myopia And Conductive Deafness",COL2A1,Col2a1<em1(IMPC)Ccpcz> hom embryo,28.79,"HP:0000160,HP:0009803,HP:0002857,HP:0002673,HP:0001156","MP:0002109,MP:0009908,MP:0000111"
83,OMIM:134600,Fanconi Renotubular Syndrome 1,GATM,Gatm<tm1b(KOMP)Wtsi> hom early,40.165,"HP:0002148,HP:0002900","MP:0005179,MP:0005627,MP:0002966,MP:0008806,MP:0005343"
84,OMIM:135900,Coffin-Siris Syndrome 1,ARID1B,Arid1b<em1(IMPC)Tcp> het early,24.125,"HP:0000718,HP:0000722,HP:0002066","MP:0001402,MP:0020421,MP:0020420,MP:0001417"
85,OMIM:136140,Floating-Harbor Syndrome,SRCAP,Srcap<em1(IMPC)Wtsi> het early,30.265,"HP:0001007,HP:0004554,HP:0002162,HP:0000527",MP:0002073
86,OMIM:136520,Foveal Hypoplasia 1,PAX6,Pax6<em1(IMPC)Mbp> het early,46.77,"HP:0007819,HP:0007750","MP:0001297,MP:0001314,MP:0001293,MP:0005542"
87,OMIM:136520,Foveal Hypoplasia 1,PAX6,Pax6<em1(IMPC)Mbp> het embryo,41.3,HP:0007750,MP:0001297
88,OMIM:136520,Foveal Hypoplasia 1,PAX6,Pax6<em1(IMPC)Mbp> hom embryo,37.625,HP:0007750,MP:0001293
89,OMIM:136900,Sorsby Fundus Dystrophy,TIMP3,Timp3<tm1.1(KOMP)Vlcg> hom early,51.305,"HP:0000533,HP:0007754","MP:0010097,MP:0001325"
90,OMIM:137200,"Neuromyotonia And Axonal Neuropathy, Autosomal Recessive",HINT1,Hint1<tm1a(EUCOMM)Wtsi> hom early,36.61,HP:0002380,MP:0000745
91,OMIM:137600,Anterior Segment Dysgenesis 4,PITX2,Pitx2<tm1b(EUCOMM)Wtsi> het early,51.82,"HP:0007990,HP:0007730,HP:0000164","MP:0001314,MP:0002100,MP:0001319"
92,OMIM:139090,Gray Platelet Syndrome,NBEAL2,Nbeal2<tm1a(EUCOMM)Wtsi> hom early,56.675,"HP:0011974,HP:0008320,HP:0012528,HP:0001873,HP:0011872,HP:0001744","MP:0002599,MP:0003179,MP:0000218,MP:0000063,MP:0010124"
93,OMIM:141500,"Migraine, Familial Hemiplegic, 1",CACNA1A,Cacna1a<em1(IMPC)H> het early,32.04,HP:0000713,MP:0020421
94,OMIM:142680,"Periodic Fever, Familial, Autosomal Dominant",TNFRSF1A,Tnfrsf1a<em1(IMPC)Ccpcz> hom early,18.18,HP:0002240,MP:0000274
95,OMIM:143200,Wagner Vitreoretinopathy,VCAN,Vcan<em2(IMPC)Mbp> het early,54.6,"HP:0007722,HP:0007773,HP:0000533,HP:0030490,HP:0000648,HP:0030663,HP:0007643","MP:0001289,MP:0001325"
96,OMIM:143890,"Hypercholesterolemia, Familial, 1",GHR,Ghr<tm1b(KOMP)Wtsi> het early,34.575,"HP:0001084,HP:0003141","MP:0001303,MP:0005633"
97,OMIM:143890,"Hypercholesterolemia, Familial, 1",LDLR,Ldlr<tm1b(EUCOMM)Wtsi> hom early,34.385,"HP:0001114,HP:0003141","MP:0005178,MP:0001556,MP:0011897,MP:0008810"
98,OMIM:145350,Hypotaurinemic Retinal Degeneration And Cardiomyopathy,SLC6A6,Slc6a6<em1(IMPC)Mbp> hom early,48.285,"HP:0025169,HP:0030609,HP:0030329,HP:0007843,HP:0007814,HP:0200070,HP:0500182,HP:0001644,HP:0007401","MP:0006243,MP:0001566,MP:0001325,MP:0005333,MP:0005565,MP:0010506"
99,OMIM:145500,"Hypertension, Essential",ATP1B1,Atp1b1<em1(IMPC)Mbp> het early,37.87,"HP:0005117,HP:0004972,HP:0004421","MP:0010393,MP:0006203"
100,OMIM:145900,Hypertrophic Neuropathy Of Dejerine-Sottas,MPZ,Mpz<em1(IMPC)Tcp> hom early,40.03,"HP:0003376,HP:0001308,HP:0002136","MP:0000745,MP:0001406,MP:0001402"
101,OMIM:145900,Hypertrophic Neuropathy Of Dejerine-Sottas,PRX,Prx<em1(IMPC)Rbrc> hom early,28.805,"HP:0002136,HP:0003376",MP:0001402
102,OMIM:145980,"Hypocalciuric Hypercalcemia, Familial, Type I",CASR,Casr<tm1b(KOMP)Mbp> het early,66.525,"HP:0001733,HP:0000843,HP:0002897,HP:0003127,HP:0002150,HP:0002918,HP:0003072","MP:0000194,MP:0001944,MP:0001566"
103,OMIM:145981,"Hypocalciuric Hypercalcemia, Familial, Type Ii",GNA11,Gna11<tm1a(EUCOMM)Wtsi> hom early,54.275,"HP:0003072,HP:0003127,HP:0002918","MP:0002941,MP:0000194,MP:0000198,MP:0008805"
104,OMIM:145981,"Hypocalciuric Hypercalcemia, Familial, Type Ii",GNA11,Gna11<tm1b(EUCOMM)Wtsi> hom early,19.395,HP:0000934,MP:0004609
105,OMIM:146200,"Hypoparathyroidism, Familial Isolated, 1",PTH,Pth<tm1a(EUCOMM)Wtsi> hom early,61.04,"HP:0002905,HP:0002901,HP:0002199",MP:0000195
106,OMIM:147480,"Cholestasis, Intrahepatic, Of Pregnancy, 1",ATP8B1,Atp8b1<em1(IMPC)Tcp> hom late,34.885,"HP:0200150,HP:0000952,HP:0200148,HP:0002910,HP:0001406","MP:0001944,MP:0002941,MP:0005627,MP:0005343,MP:0000598,MP:0005344,MP:0002968,MP:0000691,MP:0000186"
107,OMIM:147920,Kabuki Syndrome 1,KMT2D,Kmt2d<tm1.2(IMPC)Wtsi> het early,24.82,"HP:0001973,HP:0001878,HP:0030374,HP:0410386,HP:0001744","MP:0002875,MP:0005561,MP:0000221"
108,OMIM:147950,Hypogonadotropic Hypogonadism 2 With Or Without Anosmia,FGFR1,Fgfr1<tm1.1(KOMP)Vlcg> hom embryo,19.735,"HP:0004322,HP:0000823",MP:0003984
109,OMIM:148050,Kbg Syndrome,ANKRD11,Ankrd11<Yod> het early,22.75,"HP:0002948,HP:0007018","MP:0001413,MP:0000063"
110,OMIM:148050,Kbg Syndrome,ANKRD11,Ankrd11<tm1b(EUCOMM)Wtsi> het early,11.46,"HP:0000411,HP:0000358,HP:0000400",MP:0004738
111,OMIM:148190,"Keratitis, Hereditary",PAX6,Pax6<em1(IMPC)Mbp> het early,53.59,"HP:0007759,HP:0000491","MP:0001314,MP:0005542"
112,OMIM:150250,Larsen Syndrome,FLNB,Flnb<tm1b(KOMP)Wtsi> het early,21.435,"HP:0002779,HP:0002948,HP:0001382,HP:0006067","MP:0010124,MP:0000063"
113,OMIM:150400,"Tooth Agenesis, Selective, 4",WNT10A,Wnt10a<tm1.1(KOMP)Vlcg> hom early,33.525,"HP:0007410,HP:0002209,HP:0045075,HP:0002231,HP:0008391,HP:0010764,HP:0001810","MP:0002075,MP:0000367,MP:0002764"
114,OMIM:150600,Legg-Calve-Perthes Disease,COL2A1,Col2a1<em1(IMPC)Ccpcz> hom embryo,17.435,HP:0005743,MP:0002109
115,OMIM:151210,"Platyspondylic Lethal Skeletal Dysplasia, Torrance Type",COL2A1,Col2a1<em1(IMPC)Ccpcz> het early,37.87,"HP:0005619,HP:0008452,HP:0004565,HP:0000470,HP:0003300,HP:0004591",MP:0000160
116,OMIM:151210,"Platyspondylic Lethal Skeletal Dysplasia, Torrance Type",COL2A1,Col2a1<em1(IMPC)Ccpcz> hom embryo,30.845,"HP:0008905,HP:0001561,HP:0002986,HP:0000947,HP:0002983,HP:0003021,HP:0009826,HP:0200083,HP:0003025,HP:0001156","MP:0002109,MP:0001785"
117,OMIM:151660,"Lipodystrophy, Familial Partial, Type 2",LMNA,Lmna<tm1b(EUCOMM)Wtsi> het early,36.75,"HP:0003074,HP:0000831,HP:0000842,HP:0001952,HP:0005978,HP:0000347,HP:0001771,HP:0000855,HP:0012645","MP:0005292,MP:0008259,MP:0002764"
118,OMIM:152700,Systemic Lupus Erythematosus,DNASE1,Dnase1<tm1.1(KOMP)Vlcg> hom early,12.96,"HP:0000123,HP:0033726",MP:0000538
119,OMIM:152700,Systemic Lupus Erythematosus,TREX1,Trex1<em1(IMPC)Ccpcz> het early,27.135,"HP:0001878,HP:0000123,HP:0001701,HP:0033726,HP:0001873,HP:0001882","MP:0002135,MP:0003068,MP:0000689,MP:0000274,MP:0000691,MP:0000266"
120,OMIM:152700,Systemic Lupus Erythematosus,TREX1,Trex1<em1(IMPC)Ccpcz> hom early,55.09,"HP:0001878,HP:0000123,HP:0001701,HP:0033726,HP:0001873,HP:0001882","MP:0002599,MP:0003917,MP:0008045,MP:0000220,MP:0010067,MP:0003179,MP:0000703,MP:0004952,MP:0013772,MP:0000689,MP:0000219,MP:0002833,MP:0000274,MP:0005016,MP:0000709,MP:0000691,MP:0000266"
121,OMIM:154780,Marshall Syndrome,COL11A1,Col11a1<em1(IMPC)Bay> hom embryo,44.19,"HP:0006095,HP:0000179,HP:0006361,HP:0012283,HP:0006456,HP:0000193,HP:0002986,HP:0000215,HP:0000201,HP:0012284,HP:0000675,HP:0040025,HP:0000343,HP:0003031,HP:0004209,HP:0002673,HP:0000175,HP:0006407","MP:0002109,MP:0009908,MP:0000111"
