marker_symbol,mp_term_name,zygosity,effect_size
Itm2c,hypoactivity,homozygote,-1.06311378921055
Slc6a2,small heart,homozygote,1
Slc23a4,decreased body weight,homozygote,-0.940563298265222
Nhs,increased startle reflex,homozygote,2.02125568942492
G2e3,decreased startle reflex,homozygote,-0.328367065340572
Dpp10,decreased startle reflex,homozygote,-0.414610551089036
Acoxl,enlarged heart,homozygote,1
Erap1,decreased body weight,homozygote,-0.59991016488487
Mapkap1,increased cornea thickness,heterozygote,0.390554948156865
Gpsm1,decreased pulmonary ventilation,homozygote,-1.26301235484226
Dusp3,decreased lean body mass,homozygote,-1.73516327772232
Pmepa1,decreased cornea thickness,homozygote,-0.881783829398157
Zmynd8,increased lean body mass,heterozygote,-0.013821256273978
Acsl4,decreased lean body mass,heterozygote,-1.17638756670045
Nadk,"preweaning lethality, complete penetrance",homozygote,1
Rnf10,"preweaning lethality, incomplete penetrance",homozygote,1
Erc1,"preweaning lethality, complete penetrance",homozygote,1
Abcc2,increased kidney weight,homozygote,1.15784337084926
Ly6e,"preweaning lethality, complete penetrance",homozygote,1
Slc30a7,"preweaning lethality, incomplete penetrance",homozygote,1
Fer1l4,absent vibrissae,homozygote,0.46484375
Slc25a1,"preweaning lethality, complete penetrance",homozygote,1
Ube3b,"preweaning lethality, complete penetrance",homozygote,1
Dnajc5g,decreased grip strength,homozygote,-0.902806546559195
Slc22a15,increased heart rate,homozygote,0.531728996930736
Lrp1,decreased exploration in new environment,heterozygote,-0.58931100641305
Clec16a,increased exploration in new environment,heterozygote,0.624087237284552
Ftsj1,decreased total retina thickness,hemizygote,-4.24248268707732
Gria1,decreased heart weight,homozygote,-0.343739402655829
Plcb4,shortened RR interval,homozygote,-0.866788424332786
Pde4dip,decreased total retina thickness,heterozygote,-1.76896104836556
Iqcj,increased hematocrit,homozygote,0.834983916181134
Fam160a2,decreased heart rate,homozygote,-0.73726420957262
Fbxl22,short tibia,homozygote,-1.58582127468463
Nr1d2,"decreased CD4-positive, alpha beta T cell number",homozygote,-1.27153570836196
Tuba8,abnormal sinus arrhythmia,homozygote,-0.474753536427595
Eps8l2,abnormal startle reflex,homozygote,0.617288884709423
Otop3,decreased heart weight,homozygote,-0.0574776380919824
Atad2b,abnormal contextual conditioning behavior,homozygote,-1.07290121613055
Pcm1,hydrocephaly,homozygote,1
Prdm5,abnormal auditory brainstem response,homozygote,0.945652173913043
Hipk4,iris synechia,homozygote,0.43482072411677
Nme6,decreased circulating calcium level,heterozygote,0.0172349091115839
Foxp1,hyperactivity,heterozygote,3.02762045112233
Chst2,microphthalmia,homozygote,1
Tmem79,hypoactivity,homozygote,-0.948901098875678
Cnih2,hyperactivity,homozygote,11.4570970084082
Ift52,abnormal midbrain development,homozygote,1
Leprotl1,decreased thigmotaxis,homozygote,1.65377889087258
Klhdc7b,abnormal auditory brainstem response,homozygote,0.951515151515152
Ydjc,increased circulating sodium level,homozygote,0.916341048178717
Tmem151b,increased circulating sodium level,homozygote,-0.494732309767153
Pnmt,increased circulating sodium level,homozygote,1.12628589477483
Hmbs,increased startle reflex,heterozygote,2.65083186882625
Hirip3,hyperactivity,homozygote,1.64601189085134
Pdcd6ip,increased blood urea nitrogen level,homozygote,1.25276421236813
Gapvd1,hyperactivity,heterozygote,0.411807134296044
Ajuba,increased neutrophil cell number,homozygote,6.99902042592986
Osbpl8,abnormal auditory brainstem response,homozygote,0.973404255319149
Rgl1,abnormal neural tube closure,homozygote,1
Itgb5,abnormal retina morphology,homozygote,0.796052631578947
Ptp4a3,increased prepulse inhibition,homozygote,0.700062640967458
Rnft2,decreased body length,homozygote,-1.22306633617734
Impg1,hypoactivity,homozygote,-0.56110153430492
Kdm3a,decreased prepulse inhibition,homozygote,-1.00405507560308
Sbspon,small testis,homozygote,1
Clcf1,increased lean body mass,heterozygote,0.286455762652363
Zfp92,decreased lean body mass,hemizygote,0.41156508641422
Mgme1,increased bone mineral content,homozygote,3.37047019625671
Gnb4,abnormal retina morphology,homozygote,0.155011655011655
Sorl1,decreased startle reflex,homozygote,-1.60499637310395
Gpcpd1,cataract,heterozygote,0.552325581395349
Tmprss6,abnormal coat/ hair morphology,homozygote,0.431749568717654
Larp1,abnormal seminal vesicle morphology,heterozygote,1
Arih1,cataract,heterozygote,0.552325581395349
Trpc2,abnormal hemoglobin content,homozygote,0.906964619032884
Rnf112,hyperactivity,homozygote,0.673108388412747
Bzw1,hyperactivity,homozygote,1.47814281403176
Setmar,decreased circulating glycerol level,homozygote,-1.89332879275883
Vkorc1l1,hyperactivity,homozygote,2.29273360140059
Garre1,hyperactivity,homozygote,1.10857633441519
Rtn4,decreased startle reflex,homozygote,-2.33961292036219
B2m,abnormal skin morphology,heterozygote,1
Akap13,abnormal skin morphology,homozygote,1
Parp1,"preweaning lethality, incomplete penetrance",homozygote,1
Bloc1s6,abnormal skin morphology,homozygote,1
Hhatl,abnormal gait,homozygote,0.285714285714286
Ncoa2,abnormal skin morphology,heterozygote,1
Epn3,abnormal auditory brainstem response,homozygote,0.962566844919786
Zfp786,decreased body length,homozygote,-0.0356316962749125
Ube2f,decreased total body fat amount,heterozygote,-3.53120382428975
Duoxa2,abnormal auditory brainstem response,homozygote,0.968215158924205
Xkr5,abnormal sinus arrhythmia,homozygote,-0.1774430267487
Frmd5,female infertility,homozygote,1
Cyp27a1,decreased circulating insulin level,homozygote,-0.765902758706584
Kdm8,decreased circulating cholesterol level,heterozygote,-0.753439675106405
Ech1,decreased lean body mass,homozygote,-0.973254492595185
Lepr,decreased lean body mass,homozygote,-10.0546027401385
Laptm4b,"preweaning lethality, complete penetrance",homozygote,1
Kdm3b,"preweaning lethality, incomplete penetrance",homozygote,1
Wdr37,increased mean platelet volume,homozygote,2.13758387308114
Chp1,"preweaning lethality, complete penetrance",homozygote,1
Bdp1,"preweaning lethality, complete penetrance",homozygote,1
Kash5,decreased heart weight,homozygote,-0.214439427131335
Mpdz,increased heart weight,homozygote,0.528789037323589
Kash5,hypoactivity,homozygote,-0.847137240389495
Notum,small uterus,heterozygote,1
Klk5,tremors,homozygote,0.173396367769769
Tppp,hyperactivity,homozygote,1.43518316993831
BC048403,decreased circulating phosphate level,homozygote,-1.79290289500104
Rab5a,decreased mean corpuscular hemoglobin,homozygote,-2.27238484669288
Apol10b,thick ventricular wall,homozygote,0.91995687905942
Cox8a,decreased circulating phosphate level,homozygote,-1.39970886010521
Aspscr1,abnormal freezing behavior,homozygote,1.37289631818588
Abhd11,abnormal urinary bladder morphology,homozygote,1
Il17re,decreased mean platelet volume,homozygote,-1.00325376263534
Bicd1,decreased circulating alanine transaminase level,homozygote,-0.359771000861779
Apoe,increased circulating LDL cholesterol level,homozygote,47.1985243295804
Dnajc9,decreased anxiety-related response,heterozygote,-0.644918142439121
Poc5,hypoactivity,homozygote,-0.890591816209522
Tmem255b,tremors,homozygote,0.332356076759062
Chordc1,abnormal kidney morphology,heterozygote,1
Dsg2,decreased cardiac muscle contractility,homozygote,-1.41225476707593
Slc35b4,abnormal embryo size,homozygote,1
Nos3,abnormal kidney morphology,homozygote,1
Esrp1,abnormal kidney morphology,heterozygote,1
Sacs,long tibia,heterozygote,0.947854795159339
Atp8b1,long tibia,homozygote,0.128921887334735
Abcg8,decreased Ly6C-positive immature NK cell number,homozygote,-1.16010936081016
Tmem256,shortened ST segment,homozygote,-1.75631498765945
Msl1,decreased bone mineral density,heterozygote,-0.755663534410752
Pepd,decreased bone mineral density,homozygote,-1.62720509519238
Pgbd5,increased total body fat amount,homozygote,-0.254789734414667
Sirpa,decreased total retina thickness,homozygote,-1.57960995008376
Ccnt2,decreased total retina thickness,heterozygote,-1.95594502467363
Ccr8,abnormal eye morphology,homozygote,1
Atp9a,increased exploration in new environment,homozygote,-0.309261192575294
Slitrk1,decreased grip strength,homozygote,-1.26478613239558
Mybbp1a,thrombocytosis,heterozygote,0.940061073612568
Cep135,facial cleft,homozygote,1
Mab21l2,abnormal placenta morphology,heterozygote,1
Celsr1,abnormal head morphology,heterozygote,0.875
Uggt1,hyperactivity,heterozygote,0.57630260429084
Lmo1,hyperactivity,homozygote,-1.08498161226395
Apbb1ip,cardiovascular system phenotype,homozygote,-0.505082365780605
Grm7,hyperactivity,homozygote,-2.65364200224899
Apbb1ip,increased leukocyte cell number,homozygote,3.49478639353241
Ncoa1,hyperactivity,homozygote,1.28952839859587
Hacd1,edema,heterozygote,1
Atp6v0d1,decreased mean corpuscular volume,heterozygote,-7.61025490037056
Sec11c,hypoactivity,homozygote,-0.627886453251175
Morc4,abnormal lymph node morphology,homozygote,1
Rnf135,abnormal sternum morphology,homozygote,1
Tas2r116,increased thigmotaxis,homozygote,0.814315806179462
C1rl,increased blood urea nitrogen level,homozygote,0.189063322758943
Dnase1l2,increased blood urea nitrogen level,homozygote,0.815458987595983
Rapsn,"preweaning lethality, complete penetrance",homozygote,1
Kiss1r,decreased lean body mass,homozygote,-1.1934272449517
Atg3,"preweaning lethality, complete penetrance",homozygote,1
Aspscr1,abnormal liver morphology,homozygote,1
Amelx,abnormal seminal vesicle morphology,hemizygote,1
Gemin5,decreased monocyte cell number,heterozygote,-0.832964395195
Trappc10,decreased bone mineral content,homozygote,-1.19504749950198
Cstf3,cataract,heterozygote,0.639095744680851
Sbsn,decreased heart weight,homozygote,-0.7191155759495
Adgrv1,abnormal auditory brainstem response,homozygote,0.951612903225806
Tdo2,decreased vertical activity,heterozygote,-0.697234259805591
Rnf10,hyperactivity,homozygote,-0.197631460072741
Foxi2,increased circulating potassium level,homozygote,0.780795313323228
Prss50,decreased T cell number,homozygote,-0.950970936658739
Cyba,trunk curl,homozygote,0.642452120580918
Gpr101,decreased eosinophil cell number,homozygote,-0.490534608453842
Bcl11b,abnormal bone structure,heterozygote,0.473760370377719
Mb21d2,abnormal adrenal gland morphology,homozygote,1
Lama4,increased heart weight,homozygote,0.746729360829043
Hip1,abnormal cornea morphology,homozygote,0.660906298003072
Fitm2,abnormal pericardium morphology,homozygote,1
Olfr1006,thrombocytosis,homozygote,0.952718344783557
Nin,decreased prepulse inhibition,homozygote,-2.04838680990152
Snca,increased mean platelet volume,homozygote,0.150589192835475
Wasf2,abnormal stomach morphology,heterozygote,1
Fgf14,abnormal spleen morphology,homozygote,1
Pigq,embryonic lethality prior to tooth bud stage,homozygote,1
Rnf5,abnormal spleen morphology,homozygote,1
Fam13b,"preweaning lethality, incomplete penetrance",homozygote,1
Usp50,"preweaning lethality, complete penetrance",homozygote,1
Usp10,"preweaning lethality, complete penetrance",homozygote,1
Usp31,decreased spleen weight,homozygote,-0.490267755870589
Ube2f,small liver,heterozygote,1
Hs3st3b1,abnormal liver morphology,homozygote,1
Irgc1,persistence of hyaloid vascular system,homozygote,0.621946082561078
Dym,decreased prepulse inhibition,homozygote,-0.849329757277907
Cuta,abnormal liver morphology,homozygote,1
Minar2,decreased body length,homozygote,-1.38818767668564
Rcc1,increased exploration in new environment,heterozygote,-0.328729869367834
Usp5,decreased leukocyte cell number,heterozygote,-0.940851564500623
Cpe,hypoactivity,homozygote,-0.946589548406822
Parp8,decreased exploration in new environment,homozygote,-2.33846171667648
Kbtbd8,decreased lean body mass,homozygote,-1.04793610738604
H2bl1,increased mean corpuscular hemoglobin,homozygote,0.646664132135858
D6Wsu163e,thrombocytopenia,homozygote,-1.28909876437454
Glyr1,abnormal skin morphology,homozygote,1
Bpifb5,increased grip strength,homozygote,0.46330762536979
Dbn1,increased lean body mass,heterozygote,1.20431182182738
Aqp11,decreased urine magnesium level,heterozygote,-4.78969114797092
Sstr2,abnormal spleen morphology,homozygote,1
Dusp16,enlarged spleen,homozygote,1
Gp2,abnormal spleen morphology,homozygote,1
Rttn,abnormal spleen morphology,heterozygote,1
Chst2,enlarged spleen,homozygote,1
Col9a3,enlarged spleen,homozygote,1
Lrrtm2,abnormal spleen morphology,homozygote,1
Kcnh8,abnormal spleen morphology,homozygote,1
Ccn3,abnormal spleen morphology,homozygote,1
Six1,abnormal spleen morphology,heterozygote,1
Cpox,hypoactivity,heterozygote,-4.12587600444795
Macrod2,hyperactivity,homozygote,1.23089798273306
Tom1,hypoactivity,homozygote,-4.23857631991069
Adnp2,decreased circulating total protein level,homozygote,-2.36969702246845
Nfix,decreased heart rate,heterozygote,-1.00428138025903
Foxk2,decreased grip strength,homozygote,-2.94416668767043
Evc2,decreased circulating serum albumin level,homozygote,-0.532665532166454
Peli1,decreased circulating serum albumin level,homozygote,-1.88731845552036
Cdyl2,increased lymphocyte cell number,homozygote,0.939936573466302
Dmd,decreased mean corpuscular volume,hemizygote,0.113855604226533
Fbn2,abnormal liver morphology,homozygote,1
Ablim3,increased lymphocyte cell number,homozygote,0.5870960904694
Itga8,increased thigmotaxis,heterozygote,0.715953085812917
Klrb1,impaired glucose tolerance,homozygote,0.772334346800252
Pde5a,small liver,heterozygote,1
Eif2b5,decreased mean corpuscular hemoglobin concentration,heterozygote,-1.48362095832223
Mta1,abnormal skin morphology,homozygote,0.235294117647059
Setd3,increased leukocyte cell number,homozygote,3.15022495479774
Dnase1l2,decreased grip strength,homozygote,-1.78224597200047
Fgf10,decreased grip strength,heterozygote,0.410515256924552
Rnf10,increased vertical activity,homozygote,2.40366769829097
Sun5,hyperactivity,homozygote,-0.0681488460061482
Rad51ap2,hyperactivity,homozygote,-0.0717297398431148
Bnip3,hyperactivity,homozygote,-0.0786429616120803
Ncam1,decreased body weight,homozygote,-1.2226712899434
Dnd1,decreased heart weight,homozygote,-0.113860782658278
Matn1,decreased body weight,heterozygote,-0.901790523873579
Sdhb,"preweaning lethality, complete penetrance",homozygote,1
Spg20,"preweaning lethality, incomplete penetrance",homozygote,1
Tmem165,abnormal iris morphology,homozygote,0.297486608982283
Jmjd6,"preweaning lethality, complete penetrance",homozygote,1
Rgs2,prolonged PR interval,heterozygote,1.60225797400635
2510009E07Rik,abnormal coat/ hair morphology,homozygote,0.184770742358079
Secisbp2l,abnormal lens morphology,homozygote,0.578241430700447
Krt27,abnormal lymph node morphology,homozygote,1
Mipol1,increased thigmotaxis,homozygote,0.12742318249472
Sox14,short tibia,homozygote,-0.778667746981582
Anapc15,abnormal hindbrain morphology,homozygote,1
Slc52a2,enlarged lymph nodes,heterozygote,1
Nfkbil1,increased grip strength,homozygote,1.4881241800607
Cfap57,abnormal spinal cord morphology,homozygote,1
Ankrd52,abnormal embryo size,homozygote,1
Arhgef4,decreased circulating serum albumin level,homozygote,-1.29308715308753
Idh3b,hyperactivity,homozygote,-1.43386248489778
Pias2,abnormal social/conspecific interaction,homozygote,1.71156942153268
Gys1,impaired glucose tolerance,heterozygote,0.972493027001081
Negr1,decreased grip strength,homozygote,-2.03230280064343
Bbs7,increased prepulse inhibition,heterozygote,0.983644332945847
Aak1,hyperactivity,homozygote,0.934275401040465
Hsf1,abnormal sleep behavior,heterozygote,-1.12488012818607
Dtnbp1,abnormal coat/hair pigmentation,homozygote,0.9375
Gatm,hypoactivity,homozygote,-0.884031845024229
Slc38a10,decreased circulating sodium level,homozygote,-0.961064195374676
Inava,decreased circulating phosphate level,homozygote,-0.410413752650799
P2rx6,increased total body fat amount,homozygote,0.884451727281337
Zfp512,hyperactivity,homozygote,1.64880153759607
Morc2a,"preweaning lethality, complete penetrance",homozygote,1
Sh3d19,decreased bone mineral content,homozygote,-0.451674645182671
Mrpl23,"preweaning lethality, complete penetrance",homozygote,1
Mgrn1,decreased bone mineral content,homozygote,-2.8356752833537
Hsbp1l1,increased bone mineral content,homozygote,0.74404622032901
Zkscan17,"preweaning lethality, complete penetrance",homozygote,1
Fcgr3,hypoactivity,homozygote,-0.773181032071776
Clptm1l,decreased bone mineral content,homozygote,-0.360528002609649
Amelx,abnormal skin morphology,hemizygote,1
Naga,increased circulating alkaline phosphatase level,homozygote,2.04916563652242
Epg5,decreased lymphocyte cell number,homozygote,-2.50975071857097
Mospd1,increased circulating alkaline phosphatase level,homozygote,2.13906934652049
Hsfy2,male infertility,homozygote,1
Fam167a,enlarged thymus,homozygote,1
Ap4e1,increased cardiac muscle contractility,homozygote,0.415680906100672
Cer1,abnormal thymus morphology,homozygote,1
Lats1,decreased bone mineral density,homozygote,-2.14666887314557
Bloc1s6,abnormal coat/hair pigmentation,homozygote,0.6875
Cyba,decreased blood urea nitrogen level,homozygote,-1.22722258662083
Mamld1,increased total body fat amount,homozygote,4.24564377369287
Ddx24,abnormal ovary morphology,heterozygote,1
Susd1,decreased spleen weight,homozygote,-0.278242496676176
Tacstd2,decreased freezing behavior,homozygote,-0.336547308897233
Slc25a28,increased mean corpuscular hemoglobin,homozygote,2.80721939317296
Sgms1,decreased mean corpuscular hemoglobin,homozygote,-0.902511228550384
Six1,decreased leukocyte cell number,heterozygote,-0.558517984026697
Gnb1,hyperactivity,heterozygote,1.53508341386142
Mmp2,abnormal skin morphology,homozygote,1
Prep,decreased circulating free fatty acids level,heterozygote,-0.887399660158015
Cyp17a1,increased fasting circulating glucose level,homozygote,4.00349586699293
Lrrk1,abnormal tooth morphology,homozygote,0.664990376854784
Eloa,abnormal embryo turning,homozygote,1
Rnf10,limb grasping,homozygote,0.241538172245205
Grm7,limb grasping,homozygote,0.574871505578538
Elovl6,limb grasping,homozygote,0.74131419939577
Trappc1,abnormal liver morphology,heterozygote,1
Clcnkb,decreased total body fat amount,homozygote,-0.614706236336083
Mrps35,increased total body fat amount,heterozygote,-0.739022350165499
Prdm14,increased total body fat amount,homozygote,1.51975869687528
Trim16,hyperactivity,homozygote,0.733104360897761
Arid4b,decreased total body fat amount,heterozygote,-1.49349540387009
Clcnkb,enlarged spleen,homozygote,1
Luc7l,abnormal spleen morphology,homozygote,1
Padi4,abnormal spleen morphology,homozygote,1
Tmed10,abnormal skin morphology,heterozygote,1
Il1f5,abnormal skin morphology,homozygote,1
Kcnb2,increased thigmotaxis,homozygote,0.775030514148521
Cntnap3,increased thigmotaxis,homozygote,0.461156001523336
Clrn1,abnormal liver morphology,homozygote,1
Lypd6b,decreased circulating insulin level,homozygote,-0.68844941495268
Aldh2,"decreased CD8-positive, alpha-beta T cell number",homozygote,-0.56169534493184
Slfn1,decreased circulating insulin level,homozygote,-0.458253306362263
Col4a5,increased circulating phosphate level,homozygote,1.91322423556512
Matn4,increased circulating HDL cholesterol level,homozygote,1.10089681196646
Slc29a3,decreased circulating HDL cholesterol level,homozygote,-3.44439551907978
Fbxw15,impaired cued conditioning behavior,homozygote,-0.45830682173954
Sparc,abnormal lens morphology,homozygote,0.891146477132262
Chac1,short tibia,homozygote,-1.90084424315565
Baiap2l1,long tibia,homozygote,-1.07834900970907
Fam221a,increased liver weight,homozygote,0.163107433797838
Cyp27b1,abnormal tibia morphology,homozygote,1
Fgfr4,increased body length,homozygote,0.431126635577846
Rab18,increased leukocyte cell number,heterozygote,3.42407935308893
Eid2,hyperactivity,homozygote,1.55976658863252
Psmc6,hyperactivity,heterozygote,1.84188660214376
Tmprss6,abnormal coat/hair pigmentation,homozygote,0.4375
Kbtbd11,abnormal uterus morphology,homozygote,1
Adar,hypoactivity,heterozygote,-1.07033909243833
Pxdn,hyperactivity,homozygote,2.00462639858452
Spin1,hyperactivity,heterozygote,1.41682545661434
Alg2,hypoactivity,heterozygote,-0.471219651429554
